目标,平均延迟(ms),最小延迟(ms),丢包率(%),速度(Mbps),国家代码,国家名称,ISP,注释
104.19.46.149:443,8.94,8.92,0.00,37.42,CA,加拿大·CA,Cloudflare,
209.94.90.92:443,9.01,8.83,0.00,35.62,US,美国·US,Cloudflare,
199.34.230.46:443,9.03,8.59,0.00,80.61,US,美国·US,Cloudflare,
199.68.156.1:443,9.05,8.60,0.00,58.40,US,美国·US,Cloudflare,
162.159.39.69:443,9.08,8.38,0.00,51.49,US,美国·US,Cloudflare,
162.159.153.45:443,9.09,8.75,0.00,39.74,CA,加拿大·CA,Cloudflare,
162.159.39.60:443,9.11,8.69,0.00,44.64,US,美国·US,Cloudflare,
172.64.145.198:443,9.19,8.64,0.00,39.14,CA,加拿大·CA,Cloudflare,
172.64.93.116:443,9.19,8.60,0.00,57.29,CA,加拿大·CA,Cloudflare,
162.159.153.7:443,9.31,8.54,0.00,38.03,CA,加拿大·CA,Cloudflare,
104.19.41.96:443,9.32,8.83,0.00,47.14,CA,加拿大·CA,Cloudflare,
162.159.46.115:443,9.33,8.47,0.00,40.32,CA,加拿大·CA,Cloudflare,
162.159.25.15:443,9.34,8.50,0.00,49.66,CA,加拿大·CA,Cloudflare,
104.18.81.19:443,9.35,8.63,0.00,36.83,CA,加拿大·CA,Cloudflare,
162.159.38.144:443,9.36,8.30,0.00,65.05,US,美国·US,Cloudflare,
162.159.4.157:443,9.37,8.86,0.00,44.42,CA,加拿大·CA,Cloudflare,
104.19.58.216:443,9.43,8.60,0.00,59.29,CA,加拿大·CA,Cloudflare,
162.159.46.37:443,9.43,8.48,0.00,52.95,CA,加拿大·CA,Cloudflare,
172.64.48.109:443,9.44,8.53,0.00,46.11,CA,加拿大·CA,Cloudflare,
69.84.182.46:443,9.46,8.60,0.00,59.35,US,美国·US,Cloudflare,
162.159.39.217:443,9.49,8.61,0.00,39.08,US,美国·US,Cloudflare,
162.159.44.136:443,9.51,8.49,0.00,57.95,US,美国·US,Cloudflare,
162.159.4.202:443,9.52,8.66,0.00,40.34,CA,加拿大·CA,Cloudflare,
104.19.150.24:443,9.53,8.46,0.00,47.82,CA,加拿大·CA,Cloudflare,
162.159.38.61:443,9.54,9.31,0.00,49.41,US,美国·US,Cloudflare,
104.19.41.95:443,9.57,8.61,0.00,42.75,CA,加拿大·CA,Cloudflare,
104.18.41.125:443,9.59,8.71,0.00,52.77,CA,加拿大·CA,Cloudflare,
173.245.58.231:443,9.66,8.76,0.00,42.06,CA,加拿大·CA,Cloudflare,
209.94.90.122:443,9.66,8.69,0.00,40.67,US,美国·US,Cloudflare,
142.248.218.97:2053,9.68,8.79,0.00,54.04,US,美国·US,Cloudflare,142.248.218.97:2053
104.19.46.47:443,9.68,8.67,0.00,56.71,CA,加拿大·CA,Cloudflare,
104.25.252.84:443,9.70,8.97,0.00,50.57,CA,加拿大·CA,Cloudflare,
198.41.223.82:443,9.72,8.30,0.00,52.24,CA,加拿大·CA,Cloudflare,
104.25.141.229:443,9.72,8.54,0.00,63.32,CA,加拿大·CA,Cloudflare,
172.64.53.43:443,9.74,9.40,0.00,50.64,CA,加拿大·CA,Cloudflare,
104.18.41.4:443,9.75,8.74,0.00,62.26,CA,加拿大·CA,Cloudflare,
104.19.61.118:443,9.75,9.09,0.00,52.11,CA,加拿大·CA,Cloudflare,
162.159.25.160:443,9.75,8.90,0.00,60.16,CA,加拿大·CA,Cloudflare,
104.19.77.14:443,9.78,8.62,0.00,62.49,CA,加拿大·CA,Cloudflare,
135.84.74.145:443,9.79,8.70,0.00,41.90,US,美国·US,Cloudflare,
104.18.41.207:443,9.80,8.73,0.00,62.63,CA,加拿大·CA,Cloudflare,
172.64.53.41:443,9.80,8.79,0.00,46.30,CA,加拿大·CA,Cloudflare,
104.19.32.67:443,9.81,8.69,0.00,47.10,CA,加拿大·CA,Cloudflare,
162.159.44.116:443,9.82,9.11,0.00,59.04,US,美国·US,Cloudflare,
162.159.152.93:443,9.82,8.93,0.00,61.64,CA,加拿大·CA,Cloudflare,
172.64.229.57:443,9.82,8.69,0.00,62.86,CA,加拿大·CA,Cloudflare,
162.159.38.114:443,9.84,9.37,0.00,55.07,US,美国·US,Cloudflare,
162.159.0.242:443,9.84,8.91,0.00,52.71,CA,加拿大·CA,Cloudflare,
162.159.25.44:443,9.84,8.71,0.00,72.05,CA,加拿大·CA,Cloudflare,
104.19.32.117:443,9.85,8.81,0.00,55.15,CA,加拿大·CA,Cloudflare,
198.41.223.89:443,9.86,8.38,0.00,55.47,CA,加拿大·CA,Cloudflare,
162.159.45.52:443,9.86,9.11,0.00,53.20,US,美国·US,Cloudflare,
104.19.150.137:443,9.88,8.69,0.00,57.48,CA,加拿大·CA,Cloudflare,
104.17.142.212:443,9.90,9.17,0.00,66.96,CA,加拿大·CA,Cloudflare,
104.19.46.239:443,9.91,8.40,0.00,49.62,CA,加拿大·CA,Cloudflare,
162.159.46.170:443,9.91,8.87,0.00,64.00,CA,加拿大·CA,Cloudflare,
173.245.58.197:443,9.92,8.71,0.00,56.87,CA,加拿大·CA,Cloudflare,
154.92.9.20:443,9.92,8.67,0.00,68.85,CY,CY·CY,Cloudflare,
172.64.147.149:443,9.94,9.23,0.00,47.98,CA,加拿大·CA,Cloudflare,
216.24.57.199:443,9.94,8.97,0.00,39.03,US,美国·US,Cloudflare,
8.39.125.131:443,9.94,8.98,0.00,72.96,US,美国·US,Cloudflare,
162.159.2.219:443,9.94,9.72,0.00,45.37,CA,加拿大·CA,Cloudflare,
162.159.153.49:443,9.95,8.96,0.00,64.36,CA,加拿大·CA,Cloudflare,
27.50.48.10:443,9.95,9.03,0.00,48.33,HK,香港·HK,Cloudflare,
27.50.48.16:443,9.95,8.64,0.00,53.20,HK,香港·HK,Cloudflare,
104.17.102.123:443,9.95,9.14,0.00,43.10,CA,加拿大·CA,Cloudflare,
154.92.9.190:443,9.97,8.56,0.00,37.59,CY,CY·CY,Cloudflare,
104.19.77.55:443,9.98,8.91,0.00,65.68,CA,加拿大·CA,Cloudflare,
27.50.48.82:443,9.99,9.15,0.00,61.31,HK,香港·HK,Cloudflare,
45.205.0.82:443,10.00,8.70,0.00,43.46,US,美国·US,Cloudflare,
162.159.43.102:443,10.01,9.01,0.00,44.23,CA,加拿大·CA,Cloudflare,
104.19.32.56:443,10.02,8.53,0.00,46.75,CA,加拿大·CA,Cloudflare,
198.41.223.244:443,10.03,8.92,0.00,39.53,CA,加拿大·CA,Cloudflare,
104.19.52.118:443,10.04,8.97,0.00,46.28,CA,加拿大·CA,Cloudflare,
69.84.182.151:443,10.04,8.86,0.00,44.64,US,美国·US,Cloudflare,
104.16.78.18:443,10.04,8.66,0.00,33.96,CA,加拿大·CA,Cloudflare,
172.64.53.208:443,10.05,8.63,0.00,58.48,CA,加拿大·CA,Cloudflare,
209.102.207.92:443,10.05,9.26,0.00,39.69,US,美国·US,Cloudflare,
162.159.153.208:443,10.06,9.26,0.00,38.75,CA,加拿大·CA,Cloudflare,
172.64.158.216:443,10.06,8.88,0.00,65.68,CA,加拿大·CA,Cloudflare,
162.159.45.150:443,10.08,8.89,0.00,65.54,US,美国·US,Cloudflare,
104.19.46.61:443,10.08,8.48,0.00,42.86,CA,加拿大·CA,Cloudflare,
104.17.47.14:443,10.09,9.25,0.00,45.94,CA,加拿大·CA,Cloudflare,
162.159.38.25:443,10.10,8.67,0.00,119.45,US,美国·US,Cloudflare,
162.159.38.99:443,10.10,8.50,0.00,57.54,US,美国·US,Cloudflare,
104.19.150.41:443,10.11,8.65,0.00,52.81,CA,加拿大·CA,Cloudflare,
173.245.59.139:443,10.12,9.02,0.00,47.65,CA,加拿大·CA,Cloudflare,
162.159.4.8:443,10.14,9.37,0.00,70.42,US,美国·US,Cloudflare,
